Title,Abstract,Authors,Authors text,Broad Topic,Citation,Created,Doi,Editor,Files,First Author,Grant,Journal/Book,Last edited time,Link,Narrow topic,Nickname,Notes,PMID,Parent topics,Project Tasks,Publication date,Related articles,Senior Author,Start and Completion dates (estimate),Status,Team Members,Topics,Type,Year,🚀 Projects (old)
Automatic quick-phase detection in bedside recordings from patients with acute dizziness and nystagmus,"Benign Paroxysmal Positional Vertigo (BPPV) is the most common cause of vertigo. It can be diagnosed and treated with simple maneuvers done by vestibular experts. However, there is a high rate of misdiagnosis that results in high medical costs from unnecessary neuroimaging tests. Here we show how to improve saccade detection methods for automatic detection of quick-phases of nystagmus, a key sign of BPPV. We test our method using eye movement data recorded in patients during the diagnostic maneuver.","Punugati, Sai A (https://www.notion.so/Punugati-Sai-A-d0026b57417a4eb39da28ecdfa559af6?pvs=21), Tian, Jing (https://www.notion.so/Tian-Jing-5aea07edc0084c9ab2b2202b8544a8a8?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Punugati, Tian, Otero-Millan",Measuring eye movements,ETRA '19 Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications. 2019;54:1–3,"July 16, 2020 11:50 AM",10.1145/3314111.3322873,,,"Punugati, Sai A (https://www.notion.so/Punugati-Sai-A-d0026b57417a4eb39da28ecdfa559af6?pvs=21)",,ETRA,"July 23, 2021 11:19 AM",https://dl.acm.org/doi/abs/10.1145/3314111.3322873,,Nystagmus detection,,,,,"June 4, 2019",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Published🎉,,"Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21), Eye tracking (https://www.notion.so/Eye-tracking-4be05eee214f43779ec0b220e6990df3?pvs=21)",Research article,2019,
Proof of Concept for an “eyePhone” App to Measure Video Head Impulses,"Objective: Differentiating benign from dangerous causes of dizziness or vertigo presents a major diagnostic challenge for many clinicians. Bedside presentations of peripheral vestibular disorders and posterior fossa strokes are often indistinguishable other than by a few subtle vestibular eye movements. The most challenging of these to interpret is the head impulse test (HIT) of vestibulo-ocular reflex (VOR) function. There have been major advances in portable video-oculography (VOG) quantification of the video HIT (vHIT), but these specialized devices are not routinely available in most clinical settings. As a first step towards smartphone-based diagnosis of strokes in patients presenting vestibular symptoms, we sought proof of concept that we could use a smartphone application (“app”) to accurately record the vHIT. Methods: This was a cross-sectional agreement study comparing a novel index test (smartphone-based vHIT app) to an accepted reference standard test (VOG-based vHIT) for measuring VOR function. We recorded passive (examiner-performed) vHIT sequentially with both methods in a convenience sample of patients visiting an otoneurology clinic. We quantitatively correlated VOR gains (ratio of eye to head movements during the HIT) from each side/ear and experts qualitatively assessed the physiologic traces by the two methods. Results: We recruited 11 patients; 1 patient’s vHIT could not be reliably quantified with either device. The novel and reference test VOR gain measurements for each ear (n = 20) were highly correlated (Pearson’s r = 0.9, p = 0.0000001) and, qualitatively, clinically equivalent. Conclusions: This preliminary study provides proof of concept that an “eyePhone” app could be used to measure vHIT and eventually developed to diagnose vestibular strokes by smartphone.","Parker, Taylor Max  (https://www.notion.so/Parker-Taylor-Max-337b919484514136a42ec968d09effa9?pvs=21), Farrel, Nathan (https://www.notion.so/Farrel-Nathan-1368849949da4171a2523af893eb32b0?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21), McClenney, Ayodele (https://www.notion.so/McClenney-Ayodele-0b756576bfc44cdbac4b8d249f5d9a04?pvs=21), Newman-Toker, David (https://www.notion.so/Newman-Toker-David-2f472e57d2d341598c1d5dd5bdb48240?pvs=21)","Parker, Farrel, Otero-Millan, Kheradmand, McClenney, Newman-Toker","Diagnosis, Ocular motor control",Digit Biomark 2021;5:1–8,"July 16, 2020 11:50 AM",10.1159/000511287,,511287.pdf,"Parker, Taylor Max  (https://www.notion.so/Parker-Taylor-Max-337b919484514136a42ec968d09effa9?pvs=21)",,Digital Biomarkers,"December 5, 2022 2:47 PM",https://www.karger.com/Article/FullText/511287,,EyePhone,,,,,"December 30, 2020",,"Newman-Toker, David (https://www.notion.so/Newman-Toker-David-2f472e57d2d341598c1d5dd5bdb48240?pvs=21)",,Published🎉,,"Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21), Telemedicine (https://www.notion.so/Telemedicine-33c3d00c1d5149728ba2c41793c89694?pvs=21), Eye tracking (https://www.notion.so/Eye-tracking-4be05eee214f43779ec0b220e6990df3?pvs=21)",Research article,2020,
vOCR ii,,,,Diagnosis,,"July 16, 2020 11:50 AM",,,,"Sadeghpour, Shirin (https://www.notion.so/Sadeghpour-Shirin-bc5c3d114f03477fab01d009fe76dbfb?pvs=21)",,,"June 30, 2021 10:11 AM",,,vOCR ii,,,https://www.notion.so/e62515c7db9d4b699311e625070c2c7b,,,,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,✋On hold,,"Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21), Torsion (https://www.notion.so/Torsion-349efb631fa94f8381104b32760d2079?pvs=21)",,,
Microsaccade generation requires a foveal anchor,"Visual scene characteristics have the ability to affect various aspects of saccade and microsaccade dynamics. For example, blank visual scenes are known to elicit diminished saccade and microsaccade production, compared to natural scenes. Similarly, microsaccades are less frequent in the dark. Yet, the extent to which foveal and peripheral visual information contribute to microsaccade production remains unclear: because microsaccade are directed to covert attention locations as per the superior colliculus activation map, it follows that peripheral stimulation could suffice to produce regular microsaccade dynamics, even without foveal stimulation being present. Here we compared the characteristics of microsaccades generated in the presence or absence of foveal and/or peripheral visual stimulation, while human subjects conducted four types of oculomotor tasks (fixation, free-viewing, guided-viewing and fixation during passive viewing). Foveal information was either available, or made unavailable by the presentation of both solid and blurred scotomas. We found foveal stimulation to be critical for microsaccade production, and peripheral stimulation, by itself, to be insufficient to yield microsaccades. Our results indicate that a foveal visual anchor is necessary for microsaccade generation.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Langston, Rachel E (https://www.notion.so/Langston-Rachel-E-98db28fde59a419dafac61f81ae3eb20?pvs=21), Costela, Francisco M (https://www.notion.so/Costela-Francisco-M-333d3e8a16544a169f1bd5c6826b7534?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Otero-Millan, Langston, Costela, Macknik, Martinez-Conde",Ocular motor control,"Journal of Eye Movement Research, 12(6)","July 16, 2020 11:50 AM",10.16910/jemr.12.6.14,,Otero-Millan_et_al._-_2020_-_Microsaccade_generation_requires_a_foveal_anchor.pdf,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,JEMR,"April 22, 2021 2:25 PM",https://bop.unibe.ch/JEMR/article/view/JEMR.12.6.14,,Scotoma,,,,,"June 29, 2020",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Research article,2020,
Part time patching treatment outcomes in children with amblyopia with and without Fusion Maldevelopment Nystagmus: an eye movement study.,"Purpose
We investigated how the abnormalities of fixation eye movements (FEMs) of the amblyopic eye were linked with treatment outcomes following part-time patching therapy in children with amblyopia.
Methods
We recruited 53 patients, with at least 12 months of patching, and measured FEMs at the end of treatment. Subjects were classified based on FEM waveforms (those without nystagmus = 21, those with nystagmus without fusion maldevelopment nystagmus (FMN) = 21, and those with FMN = 11) and based on clinical type of amblyopia (anisometropic = 18, strabismic = 6, and mixed = 29). The treatment outcomes such as duration of treatment of receiving part-time patching therapy, visual acuity and stereo-acuity deficits at the end of treatment were determined. Bivariate contour ellipse area (BCEA), fast (fixational saccade/quick phases), and slow (inter-saccadic drifts/slow phases) FEMs of the fellow and amblyopic eye were analyzed.
Results
Anisometropic group had less residual amblyopia (0.23±0.19logMAR acuity) compared to strabismic/mixed (0.36±0.26) groups (p = 0.007). Treatment duration in patients without nystagmus was lower (12.6±9.5months) compared to nystagmus without FMN (25.6±23.2) and FMN (29.5±20.4) groups (p = 0.006). Patients without nystagmus had better stereopsis at the end of treatment (2.3±0.84logarcsecs) compared to nystagmus without FMN (2.6±0.84) group (p = 0.003). The majority of patients with FMN (8/11) had absent stereopsis. BCEA of the amblyopic eye was higher in patients with greater residual visual acuity deficits in patients without nystagmus. No such association was seen in Nystagmus no FMN and FMN groups. Increased amplitude of fast FEMs, increased eye position variance and eye velocity of slow FEMs were seen in patients who had received longer duration of part time patching therapy and in those with greater residual amblyopia, and poor stereopsis at the end of treatment.
Conclusions
Assessment of FEM waveforms and fast and slow FEM characteristics are important measures while describing fixation instability in amblyopia. Several FEM abnormalities were associated with stereo-acuity and visual acuity deficits and treatment duration in patients with amblyopia treated with part time patching therapy.","Scaramuzzi, Matteo (https://www.notion.so/Scaramuzzi-Matteo-0e6223b4ddfe4128a789cc4b58af0b3b?pvs=21), Murray, Jordan (https://www.notion.so/Murray-Jordan-8bf59185da5c4094bcd6da6bb539f926?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Nucci, Paolo (https://www.notion.so/Nucci-Paolo-c58246cd73594902aef5c565ef6db2fe?pvs=21), Shaikh, Aasef G (https://www.notion.so/Shaikh-Aasef-G-222ee231c59347b595169eb1d634a819?pvs=21), Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)","Scaramuzzi, Murray, Otero-Millan, Nucci, Shaikh, Ghasia",Diagnosis,PLOS ONE 15(8): e0237346.,"July 24, 2020 8:02 AM",10.1371/journal.pone.0237346,,journal.pone.0237346.pdf,"Scaramuzzi, Matteo (https://www.notion.so/Scaramuzzi-Matteo-0e6223b4ddfe4128a789cc4b58af0b3b?pvs=21)",,PLoS One,"April 22, 2021 2:18 PM",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237346,,,,,,,"August 13, 2020",,"Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2020,
Detection of Saccades and Quick-Phases in Eye Movement Recordings with Nystagmus,"Benign Paroxysmal Positional Vertigo (BPPV) is the most common cause of vertigo and dizziness. Patients with those symptoms can be diagnosed by the presence of a specific pattern of nystagmus during the Dix-Hallpike maneuver. However, almost half of dizzy patients visiting Emergency Department (ED) are misdiagnosed, leading to significant morbidity and high medical costs. This can be attributed to the lack of specialized expertise of front-line physicians and to the lack of validated automatic commercial devices and software for nystagmus detection and quantification. Here we aim to enhance saccade detection thereby improving automatic nystagmus quantification. The proposed method is evaluated on a nystagmus dataset recorded from patients in the ED as they undergo the Dix-Hallpike maneuver. Additionally, the proposed method is also tested on a publicly available saccade dataset and compared with state-of-the-art eye movement detection methods.","Punugati, Sai A (https://www.notion.so/Punugati-Sai-A-d0026b57417a4eb39da28ecdfa559af6?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Punugati, Otero-Millan",Measuring eye movements,ETRA '20 Short Papers: ACM Symposium on Eye Tracking Research and Applications. 2020;8:1–5,"July 24, 2020 1:59 PM",10.1145/3379156.3391353,,Punuganti_and_PhD_-_2020_-_Detection_of_Saccades_and_Quick-Phases_in_Eye_Move.pdf,"Punugati, Sai A (https://www.notion.so/Punugati-Sai-A-d0026b57417a4eb39da28ecdfa559af6?pvs=21)",,ETRA,"September 2, 2021 8:41 AM",https://dl.acm.org/doi/abs/10.1145/3379156.3391353,,Nystagmus detection,,,,,"June 2, 2020",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Published🎉,,"Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21), Eye tracking (https://www.notion.so/Eye-tracking-4be05eee214f43779ec0b220e6990df3?pvs=21)",Research article,2020,
"Illusory tilt does not induce optostatic torsion
",,"Winnick, Ariel (https://www.notion.so/Winnick-Ariel-2a0caa2cf53246008e05ff0e438bf927?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Winnick, Otero-Millan",Vision while moving,,"August 26, 2020 4:22 PM",,,,"Girum, Mihret (https://www.notion.so/Girum-Mihret-6f0dbdef33324b6eaa85e483f5572248?pvs=21), Winnick, Ariel (https://www.notion.so/Winnick-Ariel-2a0caa2cf53246008e05ff0e438bf927?pvs=21)",Untitled (https://www.notion.so/5a7a2a691e84474b9e008e67167bcf5d?pvs=21),,"September 5, 2025 9:44 AM",,Visual cues,IllusoryTilt,,,,,,"Sverkertsen et al. 2009 (https://www.notion.so/Sverkertsen-et-al-2009-1f5c56c984014d4885cfc81bbc8c1ee2?pvs=21), Howard and Templeton 1964 (https://www.notion.so/Howard-and-Templeton-1964-25c55499b71f469f842f6b75dac812b8?pvs=21), Pansell et al. 2006 (https://www.notion.so/Pansell-et-al-2006-34eeb3c1dde34bf4bd438d608bbeeeee?pvs=21), Rodionov et al. 2009 (https://www.notion.so/Rodionov-et-al-2009-c8cdabef2975413580fe02180cdf2847?pvs=21), Collewijn et al. 1985 (https://www.notion.so/Collewijn-et-al-1985-b7fbe6aa6c0b4d02a29f800bf7de3e29?pvs=21), Goodenough et al. 1979 (https://www.notion.so/Goodenough-et-al-1979-e21eada998f94e4895419ef423bc5fb3?pvs=21), Crone 1975 (https://www.notion.so/Crone-1975-592a18dace444b31b1642cd35ed94174?pvs=21), Simonsz 1985 (https://www.notion.so/Simonsz-1985-d96d098e85b6430e96b73185b5101368?pvs=21), Kingma et al. 1997 (https://www.notion.so/Kingma-et-al-1997-d021bb062da547b4902deed77f0ad8a5?pvs=21), Otero-Millan 2012 (https://www.notion.so/Otero-Millan-2012-61cab2cc491843bc9340dd7f9e2f7178?pvs=21), Gibson et al. 1937 (https://www.notion.so/Gibson-et-al-1937-c8fb1c57eff24cb88f5bf3fc012895dc?pvs=21), Curthoys 1996 (https://www.notion.so/Curthoys-1996-b0a8559163aa4e0cb760f625d4cd490e?pvs=21), Pashler et al. 1996 (https://www.notion.so/Pashler-et-al-1996-c31b176d33cc4300a4ab17d7dece2759?pvs=21), Wu 2019 (https://www.notion.so/Wu-2019-ca096e5ccd9d4d6e8cd9d67256085690?pvs=21), Rothwell et al. 2020 (https://www.notion.so/Rothwell-et-al-2020-e01988f631e44d028a3f930c03e4d6e6?pvs=21), Kitaoka et al. 2004 (https://www.notion.so/Kitaoka-et-al-2004-da10ca3de5524308b98e6136b5597307?pvs=21), Gregory and Heard 1979 (https://www.notion.so/Gregory-and-Heard-1979-e8a8a6fcb814494aba1333628a30d36b?pvs=21), Brecher et al. 1934 (https://www.notion.so/Brecher-et-al-1934-bdd3181386334bd590289f272fb92eea?pvs=21)","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,↪Rebuttal,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),,,
Low vision and vision/vestibular integration,,,,Vision while moving,,"August 29, 2020 10:29 PM",,,,,,,"September 24, 2020 11:15 AM",,,,,,,,,"Anisometropia and the Rod and Frame Task (https://www.notion.so/Anisometropia-and-the-Rod-and-Frame-Task-9ef7f70b99604433b4249e1495e54a4d?pvs=21), Postural stability and visual impairment: Assessing balance in children with strabismus and amblyopia (https://www.notion.so/Postural-stability-and-visual-impairment-Assessing-balance-in-children-with-strabismus-and-amblyopi-afbfcdd7e14e40ab90ed2c473cad15f7?pvs=21), Visuomotor behaviour in amblyopia: Deficits and compensatory adaptations. (https://www.notion.so/Visuomotor-behaviour-in-amblyopia-Deficits-and-compensatory-adaptations-bc679836c67b47ec92a5bf03ac4aaa60?pvs=21)",,,✋On hold,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),,,
Optostatic torsion in VR vs RR,,,,Vision while moving,,"August 29, 2020 10:29 PM",,,,,,,"April 16, 2021 9:21 PM",,Visual cues,,,,,,,Stepping into the virtual unknown: feasibility study of a virtual reality-based test of ocular misalignment (https://www.notion.so/Stepping-into-the-virtual-unknown-feasibility-study-of-a-virtual-reality-based-test-of-ocular-misal-c9d621a03c4e477d8e156c3b45f9ae85?pvs=21),,,🧠Brainstorming,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),,,
Effect of vergence on torsion,,,,Ocular motor control,,"September 7, 2020 10:22 AM",,,,,,,"April 13, 2021 9:23 AM",,,,,,,,,,,,🧠Brainstorming,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),,,
Remote evaluation of acute vertigo: Strategies and technological considerations,"Patients with acute vestibular disorders are often a diagnostic challenge for neurologists, especially when the evaluation must be conducted remotely. The clinical dilemma remains: Does the patient have a benign peripheral inner ear problem or a worrisome central vestibular disorder, such as a stroke? The use of a focused history and the virtual HINTS (head impulse test, nystagmus evaluation, and test of skew) examination are key steps towards correctly diagnosing and triaging the acute vertiginous patient. When looking for signs of vestibulo-ocular dysfunction, there are important technological and practical considerations for an effective clinical interpretation.","Green, Kemar (https://www.notion.so/Green-Kemar-aeff744826f44aaf8b6fc0f85d88dccd?pvs=21), Pogson, Jacob (https://www.notion.so/Pogson-Jacob-19f33cd354d24cbb894c4cb1d336c67d?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Gold, Dan R (https://www.notion.so/Gold-Dan-R-3f7a72785d88433d8d3eb94a7055e782?pvs=21), Tevzadze, Nana (https://www.notion.so/Tevzadze-Nana-49267ca6ce944ce593cc088e3f15b5c0?pvs=21), Saber Tehrani, Ali S (https://www.notion.so/Saber-Tehrani-Ali-S-6524c3f76bdc47a2bd273789d9f98810?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21), Newman-Toker, David (https://www.notion.so/Newman-Toker-David-2f472e57d2d341598c1d5dd5bdb48240?pvs=21), Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)","Green, Pogson, Otero-Millan, Gold, Tevzadze, Saber Tehrani, Zee, Newman-Toker, Kheradmand",Diagnosis,"Neurology Jan 2021, 96 (1) 34-38","September 11, 2020 7:55 PM",10.1212/WNL.0000000000010980,,,"Green, Kemar (https://www.notion.so/Green-Kemar-aeff744826f44aaf8b6fc0f85d88dccd?pvs=21)",,Neurology,"April 22, 2021 2:17 PM",https://n.neurology.org/content/96/1/34.abstract,,,,33004609,,,"January 5, 2021",,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Review,2020,
Nystagmus detection,,,,Measuring eye movements,,"September 15, 2020 11:34 PM",,,,"Punugati, Sai A (https://www.notion.so/Punugati-Sai-A-d0026b57417a4eb39da28ecdfa559af6?pvs=21)",,,"June 30, 2021 10:10 AM",,,,,,,,,,,,✋On hold,,"Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21), Eye tracking (https://www.notion.so/Eye-tracking-4be05eee214f43779ec0b220e6990df3?pvs=21)",,,
T-OKN in VR vs RR,,,,Vision while moving,,"October 1, 2020 4:00 PM",,,,,,,"April 16, 2021 9:26 PM",,Visual cues,,,,,,,,,,🧠Brainstorming,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),,,
"Fixational Eye Movements in Visual, Cognitive, and Movement Disorders","The eyes never remain completely still. Even when attempting to maintain our gaze stable looking at a small target, fixational eye movements keep the eyes in constant motion. Given the simplicity of the task and the rich dataset that can be obtained, the interest in fixational eye movements has grown in multiple research and clinical fields. First, this chapter reviews the general classes of eye movements and how they may contribute to the main two components of fixational eye movements: drifts and microsaccades. While microsaccades are considered to be part of a continuum with saccades, drift results from a combination of all other smooth eye movements, such as vestibular ocular reflex, smooth pursuit, and vergence. Then, it discusses the methods used to analyze fixational eye movements and what are the typical parameters of interest and some considerations on how they should be measured. Finally, it describes how fixational eye movements are altered in patients affected by different degrees of vision loss, by movement disorders, or by cognitive disorders.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",Otero-Millan,"Diagnosis, Ocular motor control","In: Shaikh A., Ghasia F. (eds) Advances in Translational Neuroscience of Eye Movement Disorders. Contemporary Clinical Neuroscience. Springer, Cham.","October 21, 2020 10:13 PM",10.1007/978-3-030-31407-1_6,"Shaikh, Aasef G (https://www.notion.so/Shaikh-Aasef-G-222ee231c59347b595169eb1d634a819?pvs=21), Ghasia, Fatema F (https://www.notion.so/Ghasia-Fatema-F-204d9ba792184b0e9dca1f0739831162?pvs=21)",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Adv Transl Neuro,"April 22, 2021 2:17 PM",https://link.springer.com/chapter/10.1007/978-3-030-31407-1_6,,,,,"https://www.notion.so/e62515c7db9d4b699311e625070c2c7b, https://www.notion.so/fe36c28ce4764d968b63a11202d226a6",,"January 4, 2020",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Published🎉,,Microsaccades (https://www.notion.so/Microsaccades-19ccd07295344b9284fab3080c238f03?pvs=21),Chapter,2020,
Torsional component of microsaccades during fixation and quick phases during optokinetic stimulation,"While many studies have characterized the eye movements during visual fixation, including microsaccades, in most cases only horizontal and vertical components have been recorded and analyzed. Thus, little is known about the torsional component of microsaccades. We took advantage of a newly developed software and hardware to record eye movements around the three axes of rotation during fixation and torsional optokinetic stimulus. We found that the average amplitude of the torsional component of microsaccades during fixation was 0.34 ± 0.07 degrees with velocities following a main sequence with a slope comparable to the horizontal and vertical components. We also found the size of the torsional displacement during microsaccades was correlated with the horizontal but not the vertical component. In the presence of an optokinetic stimulus a nystagmus was induced producing a more frequent and larger torsional quick phases compared to microsaccades produced during fixation with a stationary stimulus. The torsional component and the vertical vergence component of quick phases grew larger with higher velocities. Additionally, our results validate and show the feasibility of recording torsional eye movements using video eye tracking in a desktop mounted setup.","Sadeghpour, Shirin (https://www.notion.so/Sadeghpour-Shirin-bc5c3d114f03477fab01d009fe76dbfb?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Sadeghpour, Otero-Millan",Ocular motor control,"Journal of Eye Movement Research, 13(5)","October 28, 2020 6:48 PM",https://doi.org/10.16910/jemr.13.5.5,"Groner, Rudolf (https://www.notion.so/Groner-Rudolf-13ee1997179e4ec38e405dd51589b51b?pvs=21)",4373-Article_Text-28309-1-10-20201208_(3).pdf,"Sadeghpour, Shirin (https://www.notion.so/Sadeghpour-Shirin-bc5c3d114f03477fab01d009fe76dbfb?pvs=21)",Untitled (https://www.notion.so/5a7a2a691e84474b9e008e67167bcf5d?pvs=21),JEMR,"December 5, 2022 2:47 PM",https://bop.unibe.ch/JEMR/article/view/JEMR.13.5.5,,Microsaccade torsion,,,"https://www.notion.so/e62515c7db9d4b699311e625070c2c7b,https://www.notion.so/e62515c7db9d4b699311e625070c2c7b, https://www.notion.so/fe36c28ce4764d968b63a11202d226a6",,"October 10, 2020","Van Rijn 1994 (https://www.notion.so/Van-Rijn-1994-884da420eb484e489d50f06551016755?pvs=21), Main sequence of torsional saccadic eye movement – analysis by three-dimensional video-oculography (https://www.notion.so/Main-sequence-of-torsional-saccadic-eye-movement-analysis-by-three-dimensional-video-oculography-3fd16b582b19416387f11acec18e17a8?pvs=21)","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Published🎉,,"Torsion (https://www.notion.so/Torsion-349efb631fa94f8381104b32760d2079?pvs=21), Microsaccades (https://www.notion.so/Microsaccades-19ccd07295344b9284fab3080c238f03?pvs=21)",Research article,2020,
Vergence during rotation,,,,,,"December 3, 2020 10:51 AM",,,,,,,"December 3, 2020 10:53 AM",,,,,,,,,,,,🧠Brainstorming,,,,,
Reference frame of adaptation to glasses,,,,,,"December 14, 2020 3:09 PM",,,,,,,"April 16, 2021 9:29 PM",,VOR adaptation,,,,,,,,,,🧠Brainstorming,,,,,
t-vor cancelation/suppression,,,,,,"December 18, 2020 9:32 AM",,,,,,,"December 18, 2020 9:35 AM",,,,,,,,,,,,🧠Brainstorming,,,,,
VN gravity and vergence,,,,,,"January 18, 2021 9:27 AM",,,,"Shemesh, Ari (https://www.notion.so/Shemesh-Ari-a886476d06474e9dbe707e36c608b311?pvs=21)",,,"January 18, 2021 9:29 AM",,,,,,,,,,"Kattah, Jorge (https://www.notion.so/Kattah-Jorge-510958708ff14aa086f46fdd67eb479d?pvs=21)",,↗Next up,,,,,
Interpupilary distance and VOR/TVOR copuling,,,,,,"January 18, 2021 9:42 AM",,,,,,,"January 18, 2021 9:42 AM",,,,,,,,,,,,🧠Brainstorming,,,,,
SVV while seeing orientation of head,,,,,,"January 18, 2021 11:31 AM",,,,,,,"June 7, 2021 1:41 PM",,,,,,,,,,,,🧠Brainstorming,,,,,
VOR vergence monocular viewing,,,,,,"January 18, 2021 12:00 PM",,,,,,,"April 16, 2021 9:29 PM",,Binocular VOR,,,,,,,,,,🧠Brainstorming,,,,,
VOR with axis of rotation inside the head,,,,,,"January 18, 2021 12:00 PM",,,,,,,"April 16, 2021 9:29 PM",,Binocular VOR,,,,,,,,,,🧠Brainstorming,,,,,
Vestibular accommodation reflex,,,,,,"January 21, 2021 12:22 PM",,,,,,,"January 21, 2021 12:23 PM",,,,,,,,,,,,🧠Brainstorming,,,,,
